fund,date,nav,reinvest_nav,net_asset_value
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-01-06,10821,10821,70.96
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-01-07,10860,10860,71.46
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-01-08,10768,10768,71.3
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-01-09,10868,10868,72.24
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-01-10,10890,10890,72.62
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-01-14,10961,10961,73.28
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-01-15,10953,10953,73.48
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-01-16,10989,10989,74.04
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-01-17,11014,11014,74.43
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-01-20,10972,10972,74.51
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-01-21,10977,10977,74.74
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-01-22,10975,10975,74.72
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-01-23,10971,10971,75.83
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-01-24,10980,10980,76.12
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-01-27,10941,10941,75.93
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-01-28,10969,10969,76.28
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-01-29,10970,10970,76.92
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-01-30,10988,10988,77.57
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-01-31,11022,11022,78.06
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-02-03,11010,11010,78.12
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-02-04,10993,10993,78.15
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-02-05,11040,11040,79.1
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-02-06,11031,11031,79.33
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-02-07,11028,11028,79.78
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-02-10,11022,11022,79.97
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-02-12,11030,11030,80.21
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-02-13,11008,11008,80.48
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-02-14,11006,11006,80.93
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-02-17,11010,11010,81.3
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-02-18,11009,11009,82.03
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-02-19,11017,11017,82.08
ｅＭＡＸＩＳ Ｓｌｉｍ 先進国債券インデックス（除く日本）,2020-02-20,11153,11153,83.79
